Country	Country Code	Indicator Name	Indicator Code	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Georgia	GEO	GDP per capita (current US$)	NY.GDP.PCAP.CD	1614,640122	1314,67067	757,2235485	550,0155426	519,8161871	578,3367633	689,0344137	807,0322858	851,5157446	673,5378927	749,9085236	801,9904139	853,5164537	1010,00798	1305,047486	1642,760938	1996,057129	2635,353882	3324,735879	2822,66743	3233,295943	4021,743306	4421,818242	4623,745725	4739,188338	4014,185944	4062,169888	4357,000936	4722,78	4769,186543	
Ghana	GHA	GDP per capita (current US$)	NY.GDP.PCAP.CD	398,6370001	433,7730651	409,7466254	370,4192479	328,7445864	379,9880073	397,1359369	384,7961564	407,5233036	410,3342297	258,4709595	269,0149984	304,5645608	367,8215216	417,5081649	491,9463779	911,9986756	1078,160509	1210,622257	1074,75538	1299,344949	1549,462902	1587,561237	2345,392906	1971,033347	1743,850996	1931,38947	2025,932424	2202,31	2202,115567	
Guinea	GIN	GDP per capita (current US$)	NY.GDP.PCAP.CD	419,7886298	461,3494585	489,071872	475,4218352	477,7804689	508,1078294	518,3742332	493,8334004	456,4910353	429,719768	363,482479	336,6300919	343,5373419	393,7399293	410,7612161	322,4156816	453,4035185	659,992723	715,0968204	674,0855502	672,4244026	651,1353635	717,0507379	769,0039433	787,2380702	769,2560137	732,9665707	856,5652698	983,309	1064,131237	
Gambia	GMB	GDP per capita (current US$)	NY.GDP.PCAP.CD	331,8184348	695,4095874	695,1560481	711,7255101	682,2185213	696,4508185	728,6690719	669,3988656	678,6756302	637,9315702	594,151643	505,4201497	411,7724804	335,906217	642,7549298	665,7219407	662,362461	780,3800991	924,5115164	833,2804027	860,6378737	762,7610541	742,7811378	700,514972	607,4284041	649,5108294	683,9976539	676,6559246	712,512	751,2946884	
Guinea Bissau	GNB	GDP per capita (current US$)	NY.GDP.PCAP.CD	250,1504679	257,7891756	221,7998175	227,0228102	220,9602169	233,2424019	243,4387342	237,1290304	178,8485197	190,6726301	308,1441193	319,6774918	331,4938718	371,2198274	404,3491366	436,3020197	429,6222659	493,0704969	597,5763927	557,1716148	557,6321326	702,7428804	616,4116862	634,482446	622,4817167	603,1585129	661,0076549	736,7255662	777,969	697,7844029	
Equatorial Guinea	GNQ	GDP per capita (current US$)	NY.GDP.PCAP.CD	267,4680729	256,2210082	301,1791291	294,0705049	210,4099825	285,5525482	450,63814	824,5495461	663,729505	1067,634779	1725,554738	2313,151289	2744,208156	3618,576094	6152,131238	10963,28936	12857,33605	15908,39183	22942,58345	16667,93682	17288,8596	21641,87052	21711,15323	20390,71932	19394,02999	11283,46561	9250,331953	9667,912252	10144,1	8131,923888	
Greece	GRC	GDP per capita (current US$)	NY.GDP.PCAP.CD	9600,18513	10188,36978	11176,45844	10401,98299	11091,28386	12959,32432	13749,11515	13427,83249	13472,13764	13245,18946	12042,95373	12538,17883	14110,31339	18477,57841	21955,10409	22551,73574	24801,15781	28827,32636	31997,28201	29710,9703	26917,75898	25916,29353	22242,68193	21874,8195	21760,9798	18167,77372	18116,45962	18930,21859	20324,3	19582,53601	
Guatemala	GTM	GDP per capita (current US$)	NY.GDP.PCAP.CD	845,3069621	1011,754966	1093,962908	1164,374025	1293,470198	1424,682543	1487,607658	1649,001602	1755,849582	1619,510736	1664,298958	1575,428557	1710,341468	1765,351677	1889,691824	2101,541818	2287,935715	2531,20608	2848,50316	2695,221264	2898,942215	3281,667502	3408,784916	3522,773698	3779,642328	3994,636913	4173,301666	4451,45099	4472,89	4619,987097	
Guyana	GUY	GDP per capita (current US$)	NY.GDP.PCAP.CD	533,5362054	468,1601974	499,0277096	602,1414776	712,7128542	816,5429329	927,1958956	988,3478364	951,9124771	926,7428086	954,4041525	955,6653806	974,9491933	997,2100346	1056,423886	1105,496454	1954,133308	2331,200342	2566,887085	2756,819889	3033,247725	3425,436441	3788,146749	3934,865262	4031,600662	4166,128516	4542,622067	4586,054572	4979	5468,356629	
Hong Kong	HKG	GDP per capita (current US$)	NY.GDP.PCAP.CD	13485,54489	15465,85886	17976,42938	20395,51737	22502,57974	23497,49231	24818,15455	27330,03335	25808,97095	25091,6666	25756,66378	25230,21633	24665,89	23977,01945	24928,10037	26649,7508	28224,21506	30594,01784	31515,66277	30697,34038	32549,99823	35142,48793	36730,8767	38403,77771	40315,28556	42431,88828	43731,10682	46165,85651	48542	48755,83508	
